stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
102728,102728,Spall at Bernard,  49.887981,-119.454629,0,
102853,102853,Queensway Exchange,  49.887464,-119.495887,0,
102854,102854,Queensway Exchange,  49.887357,-119.494738,0,
102855,102855,Queensway Exchange,  49.887368,-119.494485,0,
102856,102856,Queensway Exchange,  49.887365,-119.494192,0,
102857,102857,Queensway Exchange,  49.887363,-119.493929,0,
102859,102859,Queensway Exchange,  49.887257,-119.494323,0,
102860,102860,Queensway Exchange,  49.887260,-119.494602,0,
102861,102861,Queensway Exchange,  49.887264,-119.494825,0,
102862,102862,Queensway Exchange,  49.887462,-119.496218,0,
102863,102863,Rutland at Sumac,  49.903880,-119.386711,0,
102865,102865,Water at Doyle,  49.889233,-119.496511,0,
102866,102866,Doyle at St Paul,  49.888909,-119.491494,0,
102867,102867,Doyle at Bertram,  49.889073,-119.490581,0,
102868,102868,Water at Leon,  49.884795,-119.496735,0,
102869,102869,Water at Leon,  49.884199,-119.496348,0,
102870,102870,Water at Cawston,  49.892092,-119.496518,0,
102874,102874,Bernard at Bertram,  49.886381,-119.489870,0,
102875,102875,Richter at Lawrence,  49.885636,-119.488660,0,
102877,102877,Bernard at Richter,  49.886224,-119.488185,0,
102878,102878,Clement at Sunset,  49.893504,-119.494902,0,
102879,102879,Richter at Wilson,  49.891021,-119.488622,0,
102880,102880,Richter at Fuller,  49.890611,-119.488360,0,
102881,102881,Pandosy at Buckland,  49.881662,-119.495149,0,
102882,102882,Leon at Richter,  49.884579,-119.486903,0,
102883,102883,Pandosy at Buckland,  49.881350,-119.494939,0,
102884,102884,Leon at Richter,  49.884417,-119.486660,0,
102885,102885,Richter at Clement,  49.893209,-119.488618,0,
102886,102886,Richter at Dehart,  49.881920,-119.488825,0,
102887,102887,Richter at Dehart,  49.882196,-119.488379,0,
102888,102888,Ellis at Industrial,  49.895813,-119.493415,0,
102889,102889,Bernard at Ethel,  49.886355,-119.483125,0,
102890,102890,Leon at Ethel,  49.884535,-119.483686,0,
102891,102891,Leon at Ethel,  49.884407,-119.483863,0,
102892,102892,Pandosy at Sutherland,  49.879699,-119.493572,0,
102893,102893,Bernard at Ethel,  49.886229,-119.482355,0,
102894,102894,Cawston at Ethel,  49.891682,-119.483310,0,
102895,102895,Richter at Gaston,  49.895678,-119.488600,0,
102896,102896,Pandosy at Sutherland,  49.879037,-119.492960,0,
102897,102897,Richter at Sutherland,  49.880037,-119.488366,0,
102898,102898,Cawston at Ethel,  49.891553,-119.482337,0,
102899,102899,Sutherland at Richter,  49.879777,-119.488127,0,
102900,102900,Bernard at Graham,  49.886354,-119.480200,0,
102901,102901,Ellis at Recreation,  49.897991,-119.493397,0,
102902,102902,Bernard at Graham,  49.886210,-119.479737,0,
102903,102903,Cawston at Graham,  49.891673,-119.480592,0,
102905,102905,Graham at Clement,  49.893276,-119.479999,0,
102906,102906,Sutherland at Ethel,  49.879920,-119.483106,0,
102907,102907,Bernard at Gordon,  49.886206,-119.478094,0,
102908,102908,Graham at Clement,  49.893220,-119.479763,0,
102909,102909,Bernard at Gordon,  49.886387,-119.478006,0,
102910,102910,Pandosy at Cadder,  49.876727,-119.491219,0,
102911,102911,Ellis at Roanoke,  49.899573,-119.493427,0,
102912,102912,Sutherland at Ethel,  49.879755,-119.482304,0,
102913,102913,Richter at Bay,  49.899274,-119.488595,0,
102914,102914,Pandosy at Cadder,  49.875889,-119.491345,0,
102915,102915,Bernard at Gordon,  49.886180,-119.476047,0,
102916,102916,Lawrence at Gordon,  49.885182,-119.476312,0,
102917,102917,Sutherland at Bowes,  49.879904,-119.480242,0,
102918,102918,Lawrence at Gordon,  49.885341,-119.475896,0,
102919,102919,Ellis at Okanagan,  49.901052,-119.493401,0,
102920,102920,Sutherland at Lequime,  49.879763,-119.478668,0,
102921,102921,Bernard at Danjou,  49.886363,-119.474299,0,
102922,102922,Richter at Okanagan,  49.901191,-119.488584,0,
102923,102923,Bernard at Danjou,  49.886225,-119.474116,0,
102924,102924,Ellis at Oxford,  49.901867,-119.493183,0,
