stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1,103023,Mission Rec Exchange,,49.8366,-119.480617,,,0,,2
2,103800,Lequime Road,,49.835566,-119.484825,,,0,,2
3,103214,Lakeshore at Lequime,,49.836528,-119.487131,,,0,,2
4,103188,Lakeshore at Lexington,,49.840456,-119.488368,,,0,,2
5,103151,Lakeshore at Truswell,,49.843896,-119.487699,,,0,,2
6,103133,Lakeshore at Cook,,49.846219,-119.48727,,,0,,2
7,103113,Lakeshore at Barrera,,49.848947,-119.48604,,,0,,2
8,103091,Lakeshore at Bechard,,49.851516,-119.486806,,,0,,2
9,103055,Lakeshore at Richter,,49.855706,-119.490657,,,0,,2
10,103044,Lakeshore at Lanfranco,,49.857142,-119.491101,,,0,,2
11,103016,Pandosy Exchange,,49.860392,-119.491071,,,0,,2
12,102997,KLO at Tutt,,49.861885,-119.490847,,,0,,2
13,103020,KLO at Casorso,,49.860845,-119.484909,,,0,,2
14,103028,Okanagan College Exchange,,49.861347,-119.479333,,,0,,2
15,102995,Pandosy at KLO,,49.862286,-119.491115,,,0,,2
16,102984,Pandosy at Groves,,49.863954,-119.491054,,,0,,2
17,140053,Pandosy at Osprey,,49.865794,-119.491082,,,0,,2
18,102956,Pandosy at Patterson,,49.868596,-119.491149,,,0,,2
19,102930,Kelowna General Hospital,,49.873416,-119.491082,,,0,,2
20,102910,Pandosy at Cadder,,49.876727,-119.491219,,,0,,2
21,102892,Pandosy at Sutherland,,49.879699,-119.493572,,,0,,2
22,102883,Pandosy at Buckland,,49.88135,-119.494939,,,0,,2
23,102869,Water at Leon,,49.884199,-119.496348,,,0,,2
24,102861,Queensway Exchange,,49.887264,-119.494825,,,0,,2
25,102868,Water at Leon,,49.884795,-119.496735,,,0,,2
26,102881,Pandosy at Buckland,,49.881662,-119.495149,,,0,,2
27,102896,Pandosy at Sutherland,,49.879037,-119.49296,,,0,,2
28,102914,Pandosy at Cadder,,49.875889,-119.491345,,,0,,2
29,140052,Kelowna General Hospital,,49.872502,-119.491391,,,0,,2
30,102952,Pandosy at Morrison,,49.869339,-119.491338,,,0,,2
31,102961,Pandosy at Patterson,,49.868026,-119.491333,,,0,,2
32,102976,Pandosy at Raymer,,49.865713,-119.491377,,,0,,2
33,102982,Pandosy at Groves,,49.863396,-119.491387,,,0,,2
34,102999,Lakeshore at Cedar,,49.86167,-119.491383,,,0,,2
